Video_ID,Views,Likes,Dislikes
zvqldRdmcXk,28976,848,470
zvkBlw-jtS0,6160,96,26
zvXqSjBMMH8,18555,117,115
ztmGD7vfujw,21836,330,8
zqVUafhQ4xc,364583,5338,510
zqEJGznRnkk,78327,1031,892
zpF6RgdnlCs,125619,5615,42
zokY330yTFg,58215,834,17
zmubM-hDrDo,49735,201,22
zjiyMVpALr4,1132433,35625,173
zjauUcjAXh0,122709,723,441
zjHeOGwwMek,283294,1020,253
ziNjNBaFWm8,24516,580,97
ziIwxPCeByU,160492,2149,2064
zhbn56EwRGM,916223,15548,410
zhIny46oLnE,81348,414,38
zhCX5j_AC-8,940658,5747,300
zgEtrC63lgU,44312,1261,40
zg0N4L4mwFk,4524781,46957,2102
zfZT81ZpbUk,72299,1197,51
zfSHxWq_Mi0,355812,8060,172
zfQXKVCudec,2848702,89418,876
zeq1cBzgnzA,643224,3309,142
zZYdZqWU7Yo,67104,1259,47
zY4egasPFm4,769327,17701,112
zWvZEYVa9A0,153533,1137,135
zWt5FktIlwA,92462,8004,827
zUjIrjlsV5c,30117,215,11
zU9aZo8EdjI,933611,25033,443
zTJbUVjS--M,986575,16057,495
zSV42j8lccg,6031113,127959,6061
zSIfJ6Jd_M4,107943,1084,15
zS9UW2xjdqE,10612670,155407,76604
zS46dM4WvBc,411501,12443,99
zR1FZgDuaEk,3710,186,4
zOzQZfBd9AU,111123,1491,105
zNscTvN6oHs,114965,987,95
zNd_8ygo9Ms,393180,6162,94
zNI_WDkDiiQ,134753,3487,68
zLiv3RPILWE,40809,373,44
zKAjnXG3m4A,396542,4497,204
zIdGmUPexos,50819,2297,51
zGv8mHYJtOM,60282,1298,1628
zEkYAzSpHnA,770524,4194,814
zC6Ybgl95Ic,196064,5054,99
zBsh7Byu044,224360,4409,92
zBV00x4xMrU,49202,1895,40
zB8HZvn2bFk,42528,409,43
zB56aovYmj0,107192,2074,240
zADDS2mwUWw,936301,45052,230
z9j6WcdU-ts,3468387,13801,693
z8IWdW4CLCg,46440,2144,29
z6hI6D6Qilk,6427559,60330,1334
z5wjBvQbhYY,152856,1453,90
z54YpXKL-T0,31058,291,76
z1SqFqDx1Ps,135584,3635,40
z0q2WbXQWbw,1453353,6087,1361
z-81WVD8xTs,9145302,149480,13887
yy_FWdbnvM0,946496,21152,219
ywgO-mrX7Jw,284908,3974,97
ywKn1-eZU_g,20677,390,28
yw3wp_tJlqk,182102,4874,104
yr01fJwzcks,4287738,8504,1503
ypgI8RFXhpo,40829,403,102
yp_c-5klWOA,64322,791,79
ykxDra9SNII,99778,1673,47
yhGMQkHDz2Y,167800,4595,99
ygD802usNmg,627494,3459,6126
yfys-2KA3oQ,1123600,46633,705
yef_HfQoBd8,3274375,29394,1706
ydshOk7QJOo,91445,1173,450
ybqbS1bzJ74,17770,185,5
ybKUX6thF8Q,8634440,156654,7324
y_01QJYDavw,406092,5472,158
yYDJvnDfB2w,868614,22640,252
yXAg6PIe8pI,78676,257,78
yWsIo_HcBBc,33669,753,6
yPzDls_uHpY,44711,588,113
yPsH1vUUwPA,126240,993,16
yPmqFtY6j9M,73873,576,84
yOXhEL33-b4,143718,509,29
